"Date","STI","Price"
2004-02-06,87,73.09
2004-02-13,85,73.78
2004-02-20,79,72.99
2004-02-27,86,72.31
2004-03-05,72,73.2
2004-03-12,88,70.54
2004-03-19,77,69
2004-03-26,86,68.89
2004-04-02,85,69.6
2004-04-16,75,69.31
2004-04-23,72,69.76
2004-04-30,80,68.05
2004-05-07,80,66.88
2004-05-14,88,62.9
2004-05-21,82,62.58
2004-05-28,85,65.08
2004-06-04,90,65.34
2004-06-18,92,64.29
2004-06-25,70,64.52
2004-07-02,80,64.33
2004-07-09,80,64.38
2004-07-16,72,64.6
2004-07-23,71,65.36
2004-07-30,77,65.95
2004-08-06,80,65.2
2004-08-13,76,65.65
2004-08-20,72,67.4
2004-08-27,76,68.05
2004-09-03,79,68.19
2004-09-10,78,67.96
2004-09-17,84,68.47
2004-09-24,85,68.62
2004-10-01,78,71.24
2004-10-08,74,69.78
2004-10-15,82,68.66
2004-10-22,75,67.6
2004-10-29,74,70.38
2004-11-05,69,72.46
2004-11-12,66,73.1
2004-11-19,73,70.6
2004-11-26,74,71.9
2004-12-03,69,71.63
2004-12-10,82,72.91
2004-12-17,72,72.78
2004-12-31,60,73.88
2005-01-07,72,71.06
2005-01-14,83,69.63
2005-01-21,83,71.06
2005-01-28,83,70.92
2005-02-04,88,73.79
2005-02-11,77,72.55
2005-02-18,74,72.13
2005-02-25,81,72.7
2005-03-04,74,73.4
2005-03-11,87,71.78
2005-03-18,87,72.4
2005-04-01,80,70.9
2005-04-08,72,71.56
2005-04-15,78,70.16
2005-04-22,74,71.18
2005-04-29,80,72.83
2005-05-06,94,72.79
2005-05-13,91,71.62
2005-05-20,85,74.63
2005-05-27,89,73.94
2005-06-03,91,73.32
2005-06-10,93,72.22
2005-06-17,100,74.13
2005-06-24,89,72.15
2005-07-01,81,73.04
2005-07-08,96,74.28
2005-07-15,81,75.73
2005-07-22,77,75.18
2005-07-29,79,72.72
2005-08-05,76,71.51
2005-08-12,78,71.04
2005-08-19,80,71.2
2005-08-26,82,70.14
2005-09-02,75,70.04
2005-09-09,83,70.8
2005-09-16,74,72.2
2005-09-23,79,70.45
2005-09-30,75,69.45
2005-10-07,73,67.5
2005-10-14,79,67.94
2005-10-21,79,70.22
2005-10-28,76,72.8
2005-11-04,75,72.94
2005-11-11,71,74.99
2005-11-18,80,74.08
2005-11-25,85,75.3
2005-12-02,78,73.78
2005-12-09,83,73.4
2005-12-16,72,74.01
2005-12-23,71,74.53
2005-12-30,67,72.76
2006-01-06,75,74.99
2006-01-13,84,74.31
2006-01-20,78,70.4
2006-01-27,85,71.67
2006-02-03,84,70.34
2006-02-10,78,70.45
2006-02-17,73,71.06
2006-02-24,75,73.16
2006-03-03,82,72.01
2006-03-10,88,72.78
2006-03-17,79,76.5
2006-03-24,78,74.58
2006-03-31,76,72.76
2006-04-07,77,72.96
2006-04-21,82,74.52
2006-04-28,74,77.33
2006-05-05,80,77.29
2006-05-12,86,76.62
2006-05-19,80,75.63
2006-05-26,86,76.55
2006-06-02,84,77.02
2006-06-09,78,77.66
2006-06-16,92,76.81
2006-06-23,79,75.23
2006-06-30,68,76.26
2006-07-07,79,76.44
2006-07-14,67,78.4
2006-07-21,68,77.43
2006-07-28,69,79.62
2006-08-04,69,80.6
2006-08-11,71,79.6
2006-08-18,70,76.92
2006-08-25,73,76.7
2006-09-01,73,76.49
2006-09-08,80,75.75
2006-09-15,82,76.76
2006-09-22,76,76.64
2006-09-29,78,77.28
2006-10-06,70,77.77
2006-10-13,79,79.41
2006-10-20,79,77.09
2006-10-27,72,78.6
2006-11-03,71,78.14
2006-11-10,74,78.95
2006-11-17,77,82.06
2006-11-24,71,83.05
2006-12-01,75,82
2006-12-08,74,83.3
2006-12-15,80,84.7
2006-12-22,75,84.29
2006-12-29,65,84.45
2007-01-05,66,82.85
2007-01-12,75,82.86
2007-01-19,76,82.58
2007-01-26,75,81.9
2007-02-02,78,84.27
2007-02-09,78,84.29
2007-02-16,77,86.56
2007-02-23,79,86.99
2007-03-02,76,85.34
2007-03-09,88,84.79
2007-03-16,86,83.58
2007-03-23,77,85.05
2007-03-30,82,83.04
2007-04-13,76,79.46
2007-04-20,74,84.3
2007-04-27,77,84.76
2007-05-04,88,85.7
2007-05-11,83,88.61
2007-05-18,95,89.5
2007-05-25,86,88.98
2007-06-01,85,89.58
2007-06-08,83,88.2
2007-06-15,94,90.33
2007-06-22,77,87.39
2007-06-29,65,85.74
2007-07-06,78,87.52
2007-07-13,73,89.64
2007-07-20,70,84.83
2007-07-27,66,78.01
2007-08-03,74,75.45
2007-08-10,73,78.19
2007-08-17,75,80.5
2007-08-24,78,81.94
2007-08-31,77,78.75
2007-09-07,77,75.89
2007-09-14,83,76.07
2007-09-21,84,77.84
2007-09-28,83,75.67
2007-10-05,79,77.8
2007-10-12,88,74.95
2007-10-19,87,71.73
2007-10-26,91,73.61
2007-11-02,86,68.21
2007-11-09,85,67.47
2007-11-16,87,68.55
2007-11-23,83,68.39
2007-11-30,83,70.11
2007-12-07,84,69.55
2007-12-14,85,63.05
2007-12-21,83,62.03
2007-12-28,69,61.79
2008-01-04,76,58.8
2008-01-11,85,62.06
2008-01-18,88,58.28
2008-01-25,88,62.56
2008-02-01,90,68.33
2008-02-08,89,64.23
2008-02-15,87,63.23
2008-02-22,87,62.11
2008-02-29,86,58.13
2008-03-07,88,55.07
2008-03-14,88,55.83
2008-03-28,88,54.94
2008-04-04,83,56.49
2008-04-11,85,53.94
2008-04-18,80,54.4
2008-04-25,85,55.27
2008-05-02,82,58.64
2008-05-09,85,55.31
2008-05-16,88,56.01
2008-05-23,86,53.79
2008-05-30,82,52.21
2008-06-06,80,46.32
2008-06-13,77,44.16
2008-06-20,89,37.27
2008-06-27,79,37.04
2008-07-11,73,30.94
2008-07-18,68,34.7
2008-07-25,70,38.32
2008-08-01,71,42.01
2008-08-08,70,44.31
2008-08-15,73,42.96
2008-08-22,71,42.71
2008-08-29,75,41.89
2008-09-05,79,45.42
2008-09-12,88,47.31
2008-09-19,86,59.2
2008-09-26,83,50.48
2008-10-03,86,54.62
2008-10-10,88,36.4
2008-10-17,82,41.88
2008-10-24,79,35.11
2008-10-31,78,40.14
2008-11-07,79,38.68
2008-11-14,88,33.52
2008-11-21,82,22.45
2008-11-28,78,31.73
2008-12-05,85,32.15
2008-12-12,84,27.5
2008-12-19,86,29.19
2008-12-26,74,27.68
2009-01-02,69,29.92
2009-01-09,78,25.56
2009-01-16,81,19.94
2009-01-23,79,14.97
2009-01-30,82,12.26
2009-02-06,86,12.09
2009-02-13,83,8.72
2009-02-20,85,7.35
2009-02-27,90,12.03
2009-03-06,89,9.36
2009-03-13,87,12.21
2009-03-20,80,12.05
2009-03-27,83,12.58
2009-04-03,81,13.82
2009-04-17,84,18.04
2009-04-24,86,15.96
2009-05-01,88,13.81
2009-05-08,87,20.77
2009-05-15,89,15.05
2009-05-22,86,13.71
2009-05-29,82,13.17
2009-06-05,85,16.97
2009-06-12,79,16.69
2009-06-19,89,16.27
2009-06-26,84,15.91
2009-07-10,81,15.2
2009-07-17,74,16.24
2009-07-24,76,17.05
2009-07-31,76,19.5
2009-08-07,72,21.78
2009-08-14,76,21.05
2009-08-21,78,22.64
2009-08-28,79,23.68
2009-09-04,81,20.76
2009-09-11,81,21.89
2009-09-18,82,23.71
2009-09-25,84,22.27
2009-10-02,79,21.15
2009-10-09,78,22.5
2009-10-16,83,21.71
2009-10-23,80,20.99
2009-10-30,76,19.11
2009-11-06,80,19.93
2009-11-13,77,20.07
2009-11-20,79,22.04
2009-11-27,78,22.59
2009-12-04,81,22.8
2009-12-11,79,22.31
2009-12-18,85,21.01
2010-01-08,74,23.01
2010-01-15,81,23.39
2010-01-22,79,24.55
2010-01-29,83,24.33
2010-02-05,81,22.49
2010-02-12,82,22.37
2010-02-19,80,23.03
2010-02-26,80,23.81
2010-03-05,81,25.06
2010-03-12,87,26.86
2010-03-19,81,27.18
2010-03-26,84,26.5
2010-04-09,86,28.65
2010-04-16,88,28.48
2010-04-23,87,29.44
2010-04-30,85,29.6
2010-05-07,86,27.46
2010-05-14,88,29.82
2010-05-21,90,26.99
2010-05-28,86,26.95
2010-06-04,79,25.03
2010-06-11,83,25.89
2010-06-18,84,26.2
2010-06-25,80,25.51
2010-07-02,68,22.44
2010-07-09,81,25.46
2010-07-16,72,23.31
2010-07-23,75,25.04
2010-07-30,79,25.95
2010-08-06,80,25.85
2010-08-13,77,24.39
2010-08-20,81,24
2010-08-27,83,22.67
2010-09-03,84,24.18
2010-09-10,90,24.52
2010-09-17,87,25.96
2010-09-24,87,26.04
2010-10-01,84,26.1
2010-10-08,84,26.83
2010-10-15,84,24.38
2010-10-22,81,26.2
2010-10-29,82,25.01
2010-11-05,83,26.47
2010-11-12,84,25.11
2010-11-19,85,24.16
2010-11-26,80,23.58
2010-12-03,84,25.74
2010-12-10,85,27.58
2010-12-17,85,27.04
2010-12-31,68,29.51
2011-01-07,80,28.8
2011-01-14,80,28.92
2011-01-21,83,29.5
2011-01-28,89,29.58
2011-02-04,85,31.5
2011-02-11,90,32.53
2011-02-18,85,31.74
2011-02-25,84,30.82
2011-03-04,85,29.4
2011-03-11,85,29
2011-03-18,76,29.59
2011-03-25,81,29.21
2011-04-01,84,29.2
2011-04-08,85,29.65
2011-04-15,83,28.14
2011-04-29,79,28.19
2011-05-06,82,28.17
2011-05-13,85,27.47
2011-05-20,88,27.89
2011-05-27,87,27.99
2011-06-03,80,25.85
2011-06-10,77,25.18
2011-06-17,85,26.18
2011-06-24,86,25
2011-07-01,71,26.41
2011-07-08,76,25.67
2011-07-15,71,24.64
2011-07-22,72,25.95
2011-07-29,71,24.49
2011-08-05,72,21.51
2011-08-12,74,18.31
2011-08-19,78,16.91
2011-08-26,79,18.79
2011-09-02,77,18.22
2011-09-09,75,18.25
2011-09-16,76,19.92
2011-09-23,80,16.97
2011-09-30,77,17.95
2011-10-07,74,18.14
2011-10-14,70,19.04
2011-10-21,77,18.57
2011-10-28,75,20.63
2011-11-04,75,19.49
2011-11-11,76,19.28
2011-11-18,79,18.09
2011-11-25,73,16.53
2011-12-02,77,18.57
2011-12-09,76,17.22
2011-12-16,74,16.48
2011-12-23,70,17.75
2011-12-30,65,17.7
2012-01-06,70,19.75
2012-01-13,74,20.8
2012-01-20,77,21.29
2012-01-27,76,20.61
2012-02-03,78,22.28
2012-02-10,78,22.03
2012-02-17,79,22.69
2012-02-24,77,22.3
2012-03-02,78,22.91
2012-03-09,81,22.43
2012-03-16,77,24.38
2012-03-23,78,23.73
2012-03-30,81,24.17
2012-04-13,79,22.58
2012-04-20,80,22.6
2012-04-27,78,24.8
2012-05-04,79,23.75
2012-05-11,81,23.7
2012-05-18,81,21.72
2012-05-25,84,22.49
2012-06-01,84,21.86
2012-06-08,77,22.18
2012-06-15,76,22.43
2012-06-22,85,23.02
2012-06-29,72,24.23
2012-07-06,75,24.22
2012-07-13,75,24.75
2012-07-20,71,23.52
2012-07-27,73,23.78
2012-08-03,71,24.09
2012-08-10,72,24.83
2012-08-17,73,25.49
2012-08-24,74,25.1
2012-08-31,72,25.17
2012-09-07,74,27.5
2012-09-14,73,29.91
2012-09-21,74,28.43
2012-09-28,73,28.27
2012-10-05,70,30.31
2012-10-12,71,29.17
2012-10-19,70,28.63
2012-10-26,73,27.1
2012-11-02,68,27.14
2012-11-09,70,26.56
2012-11-16,70,26.02
2012-11-23,66,27.48
2012-11-30,69,27.15
2012-12-07,73,27.18
2012-12-14,69,27.07
2012-12-21,68,28.27
2012-12-28,64,27.79
2013-01-04,65,29.42
2013-01-11,71,28.31
2013-01-18,70,29.14
2013-01-25,93,29.35
2013-02-01,72,29.1
2013-02-08,73,29.25
2013-02-15,73,28.12
2013-02-22,72,27.9
2013-03-01,70,27.55
2013-03-08,72,29.35
2013-03-15,73,29.06
2013-03-22,73,28.23
2013-04-05,72,28.04
2013-04-12,74,28.79
2013-04-19,73,28.31
2013-04-26,72,29.05
2013-05-03,72,29.37
2013-05-10,74,30.46
2013-05-17,74,31.88
2013-05-24,73,31.94
2013-05-31,74,32.09
2013-06-07,75,32.25
2013-06-14,72,31.09
2013-06-21,72,31.23
2013-06-28,68,31.57
2013-07-05,70,34.31
2013-07-12,69,33.97
2013-07-19,72,34.83
2013-07-26,71,34.89
2013-08-02,70,35.44
2013-08-09,76,34.97
2013-08-16,71,34.6
2013-08-23,72,34.24
2013-08-30,73,32.02
2013-09-06,69,32.91
2013-09-13,70,33.31
2013-09-20,66,32.94
2013-09-27,69,32.6
2013-10-04,68,32.99
2013-10-11,69,33.51
2013-10-18,74,34.67
2013-10-25,72,33.71
2013-11-01,69,33.75
2013-11-08,69,35.72
2013-11-15,72,36.03
2013-11-22,75,36.41
2013-11-29,68,36.23
2013-12-06,71,35.45
2013-12-13,73,34.99
2013-12-20,75,36.39
2013-12-27,66,36.61
2014-01-03,68,36.55
2014-01-10,84,38.39
2014-01-17,89,39.34
2014-01-24,81,38.05
2014-01-31,78,37.02
2014-02-07,75,38.05
2014-02-14,77,37.84
2014-02-21,79,37.22
2014-02-28,76,37.68
2014-03-07,76,39.74
2014-03-14,77,38.62
2014-03-21,75,40.36
2014-03-28,78,39.03
2014-04-04,78,39.68
2014-04-11,76,37.75
2014-04-25,80,38.44
