"Date","TWX","Price"
2004-02-20,37,17.68
2004-02-27,50,17.25
2004-03-05,62,17.15
2004-04-30,35,16.82
2004-05-07,33,16.61
2004-05-14,33,16.5
2004-07-02,35,17.39
2004-08-13,48,15.6
2004-10-08,36,16.4
2004-10-15,36,16.33
2004-10-22,36,16.28
2004-10-29,36,16.64
2004-11-05,29,16.73
2004-11-12,33,17.4
2004-11-19,38,17.42
2004-11-26,43,17.98
2004-12-03,27,18.05
2004-12-10,32,18.48
2004-12-17,27,19.39
2004-12-31,33,19.45
2005-01-07,36,18.9
2005-01-14,40,18.79
2005-01-21,43,18.59
2005-01-28,32,17.93
2005-02-04,32,18.04
2005-02-11,25,18
2005-02-18,29,17.89
2005-02-25,33,17.14
2005-03-04,36,17.77
2005-03-11,23,17.5
2005-03-18,27,18.7
2005-04-01,33,17.45
2005-04-08,44,17.97
2005-04-15,29,17.31
2005-04-22,27,17.36
2005-04-29,30,16.81
2005-05-06,33,17.12
2005-05-13,37,16.95
2005-05-20,26,17.61
2005-05-27,48,17.59
2005-06-03,47,17.25
2005-06-10,54,16.66
2005-06-17,35,16.78
2005-06-24,64,17.1
2005-07-01,43,16.59
2005-07-08,43,16.42
2005-07-15,62,16.67
2005-07-22,29,16.64
2005-07-29,42,17.02
2005-08-05,32,18.09
2005-08-12,66,18.24
2005-08-19,60,18.09
2005-08-26,57,17.56
2005-09-02,31,17.85
2005-09-09,27,18.34
2005-09-16,58,18.9
2005-09-23,44,17.98
2005-09-30,30,18.11
2005-10-07,40,18.01
2005-10-14,60,18
2005-10-21,59,17.23
2005-10-28,53,17.75
2005-11-04,59,17.61
2005-11-11,50,17.82
2005-11-18,58,18.03
2005-11-25,40,18.33
2005-12-02,41,18.27
2005-12-09,52,17.66
2005-12-16,85,18
2005-12-23,100,17.68
2005-12-30,50,17.44
2006-01-06,31,17.73
2006-01-13,55,17.27
2006-01-20,28,17.07
2006-01-27,37,17.29
2006-02-03,75,18.4
2006-02-10,64,18.32
2006-02-17,62,17.78
2006-02-24,41,17.27
2006-03-03,44,17.43
2006-03-10,31,17.2
2006-03-17,46,17.07
2006-03-24,39,17
2006-03-31,43,16.79
2006-04-07,41,16.62
2006-04-21,47,16.8
2006-04-28,47,17.4
2006-05-05,41,17.06
2006-05-12,46,17.5
2006-05-19,38,17.45
2006-05-26,40,17.44
2006-06-02,41,17.58
2006-06-09,33,17.36
2006-06-16,46,16.96
2006-06-23,48,16.97
2006-06-30,37,17.3
2006-07-07,19,16.84
2006-07-14,36,15.97
2006-07-21,25,16.01
2006-07-28,50,16.33
2006-08-04,75,16.56
2006-08-11,47,16.05
2006-08-18,40,16.5
2006-08-25,23,16.42
2006-09-01,42,16.76
2006-09-08,29,16.87
2006-09-15,27,17.02
2006-09-22,26,17.73
2006-09-29,75,18.23
2006-10-06,63,18.78
2006-10-13,59,19.06
2006-10-20,51,19.78
2006-10-27,60,19.91
2006-11-03,72,19.84
2006-11-10,49,19.71
2006-11-17,69,20.43
2006-11-24,50,20.49
2006-12-01,63,20.23
2006-12-08,51,20.91
2006-12-15,65,21.66
2006-12-22,60,22.08
2006-12-29,54,21.78
2007-01-05,50,22.23
2007-01-12,65,22.73
2007-01-19,58,22.62
2007-01-26,58,21.82
2007-02-02,58,21.75
2007-02-09,47,21.28
2007-02-16,60,21.57
2007-02-23,47,21.5
2007-03-02,57,19.93
2007-03-09,39,19.87
2007-03-16,36,19.48
2007-03-23,53,19.8
2007-03-30,42,19.72
2007-04-13,41,21.21
2007-04-20,44,20.72
2007-04-27,37,20.61
2007-05-04,58,21.29
2007-05-11,40,21.4
2007-05-18,51,21.54
2007-05-25,30,21.51
2007-06-01,31,21.31
2007-06-08,38,20.74
2007-06-15,41,20.9
2007-06-22,50,21.45
2007-06-29,25,21.04
2007-07-06,35,21.02
2007-07-13,48,20.86
2007-07-20,36,20.38
2007-07-27,34,19.42
2007-08-03,41,18.61
2007-08-10,34,18.62
2007-08-17,33,18.29
2007-08-24,33,19.01
2007-08-31,27,18.98
2007-09-07,31,18.37
2007-09-14,27,18.64
2007-09-21,32,18.09
2007-09-28,28,18.36
2007-10-05,27,19.06
2007-10-12,21,18.98
2007-10-19,29,17.96
2007-10-26,28,18.35
2007-11-02,32,17.88
2007-11-09,42,17.24
2007-11-16,29,17.3
2007-11-23,23,16.72
2007-11-30,29,17.26
2007-12-07,25,17.4
2007-12-14,33,16.89
2007-12-21,31,16.61
2007-12-28,32,16.65
2008-01-04,30,15.91
2008-01-11,26,16.01
2008-01-18,24,15.54
2008-01-25,34,14.96
2008-02-01,34,16.07
2008-02-08,40,15.59
2008-02-15,31,16.7
2008-02-22,32,16.49
2008-02-29,27,15.61
2008-03-07,25,14.86
2008-03-14,35,14.03
2008-03-28,19,13.87
2008-04-04,29,14.6
2008-04-11,33,14.27
2008-04-18,26,14.84
2008-04-25,31,15.26
2008-05-02,44,15.77
2008-05-09,32,15.91
2008-05-16,22,16.47
2008-05-23,36,15.91
2008-05-30,24,15.88
2008-06-06,28,15.27
2008-06-13,24,15.43
2008-06-20,29,14.6
2008-06-27,18,14.42
2008-07-11,25,13.78
2008-07-18,31,14.7
2008-07-25,28,14.61
2008-08-01,31,14.23
2008-08-08,36,15.6
2008-08-15,28,16.17
2008-08-22,22,16.04
2008-08-29,21,16.37
2008-09-05,23,15.25
2008-09-12,30,14.57
2008-09-19,28,14.55
2008-09-26,29,14.21
2008-10-03,24,12.12
2008-10-10,30,9.19
2008-10-17,30,9.91
2008-10-24,28,9.1
2008-10-31,27,10.09
2008-11-07,26,10.1
2008-11-14,20,9.15
2008-11-21,27,8.12
2008-11-28,23,9.05
2008-12-05,34,9.51
2008-12-12,29,10.03
2008-12-19,26,10.03
2008-12-26,28,9.73
2009-01-02,21,10.63
2009-01-09,28,10.08
2009-01-16,20,9.61
2009-01-23,24,9.31
2009-01-30,24,9.33
2009-02-06,32,9.63
2009-02-13,27,8.67
2009-02-20,22,7.35
2009-02-27,31,7.63
2009-03-06,26,7.47
2009-03-13,32,8.22
2009-03-20,25,7.86
2009-03-27,27,8.43
2009-04-03,48,22.22
2009-04-17,30,23.22
2009-04-24,28,22.33
2009-05-01,25,22.84
2009-05-08,22,25.2
2009-05-15,22,23.52
2009-05-22,20,22.86
2009-05-29,24,23.42
2009-06-05,18,25.3
2009-06-12,18,26
2009-06-19,17,25.15
2009-06-26,21,24.95
2009-07-10,20,23.95
2009-07-17,18,26.15
2009-07-24,14,27.58
2009-07-31,22,26.66
2009-08-07,26,28.34
2009-08-14,11,27.55
2009-08-21,18,28.28
2009-08-28,18,28.33
2009-09-04,20,28.05
2009-09-11,16,29.3
2009-09-18,17,29.58
2009-09-25,18,28.62
2009-10-02,27,29.63
2009-10-09,17,30.25
2009-10-16,22,30.41
2009-10-23,18,30.78
2009-10-30,20,30.12
2009-11-06,20,31.01
2009-11-13,19,31.95
2009-11-20,24,31.64
2009-11-27,15,30.85
2009-12-04,23,31.42
2009-12-11,24,30.58
2009-12-18,23,29.45
2010-01-08,20,28.76
2010-01-15,15,28.16
2010-01-22,18,27.2
2010-01-29,15,27.45
2010-02-05,16,27.03
2010-02-12,15,27.88
2010-02-19,13,29.44
2010-02-26,14,29.04
2010-03-05,18,30.54
2010-03-12,13,30.54
2010-03-19,11,31.24
2010-03-26,14,31.5
2010-04-09,13,32.63
2010-04-16,13,33
2010-04-23,8,33.14
2010-04-30,13,33.08
2010-05-07,9,30.25
2010-05-14,8,30.56
2010-05-21,9,30.08
2010-05-28,11,30.99
2010-06-04,9,30.46
2010-06-11,8,31.53
2010-06-18,8,32.96
2010-06-25,12,30.76
2010-07-02,11,28.2
2010-07-09,8,30.19
2010-07-16,13,29.53
2010-07-23,11,31.37
2010-07-30,11,31.46
2010-08-06,19,32.36
2010-08-13,12,30.81
2010-08-20,11,30.31
2010-08-27,12,30.32
2010-09-03,10,31.72
2010-09-10,11,31.78
2010-09-17,7,31.24
2010-09-24,9,31.37
2010-10-01,11,30.61
2010-10-08,7,31.31
2010-10-15,13,31.79
2010-10-22,8,31.52
2010-10-29,10,32.51
2010-11-05,12,31.34
2010-11-12,12,30.74
2010-11-19,11,30.76
2010-11-26,11,30.31
2010-12-03,8,30.64
2010-12-10,13,31.79
2010-12-17,11,31.51
2010-12-31,12,32.17
2011-01-07,12,33.3
2011-01-14,10,33.13
2011-01-21,11,32.79
2011-01-28,13,31.72
2011-02-04,16,35.92
2011-02-11,8,36.54
2011-02-18,15,38.18
2011-02-25,12,37.9
2011-03-04,13,37.25
2011-03-11,12,36.33
2011-03-18,12,34.72
2011-03-25,15,35.3
2011-04-01,9,35.53
2011-04-08,10,35.47
2011-04-15,10,36.05
2011-04-29,13,37.86
2011-05-06,12,36.25
2011-05-13,10,35.99
2011-05-20,8,36.79
2011-05-27,10,36.12
2011-06-03,9,35.17
2011-06-10,8,34.63
2011-06-17,8,35.13
2011-06-24,7,34.46
2011-07-01,10,36.92
2011-07-08,8,36.64
2011-07-15,9,35.63
2011-07-22,8,36.7
2011-07-29,11,35.16
2011-08-05,12,31.74
2011-08-12,10,29.84
2011-08-19,9,27.9
2011-08-26,10,29.92
2011-09-02,11,30.6
2011-09-09,10,28.89
2011-09-16,8,30.96
2011-09-23,8,29.89
2011-09-30,9,29.97
2011-10-07,10,30.85
2011-10-14,8,33.53
2011-10-21,11,34.77
2011-10-28,11,35.47
2011-11-04,10,34.44
2011-11-11,13,35.21
2011-11-18,11,33.61
2011-11-25,10,32.36
2011-12-02,10,34.41
2011-12-09,11,34.6
2011-12-16,10,34.59
2011-12-23,10,35.96
2011-12-30,9,36.14
2012-01-06,11,36.55
2012-01-13,9,37.27
2012-01-20,10,37.6
2012-01-27,12,37.54
2012-02-03,13,38.19
2012-02-10,17,37.52
2012-02-17,11,37.7
2012-02-24,9,37.69
2012-03-02,11,37.14
2012-03-09,9,36.72
2012-03-16,11,35.91
2012-03-23,12,37.08
2012-03-30,10,37.75
2012-04-13,11,35.69
2012-04-20,8,36.6
2012-04-27,10,38.07
2012-05-04,11,36.35
2012-05-11,10,35.69
2012-05-18,11,34.27
2012-05-25,13,34.7
2012-06-01,10,33.76
2012-06-08,9,35.23
2012-06-15,10,36.42
2012-06-22,10,37.49
2012-06-29,12,38.5
2012-07-06,10,38.59
2012-07-13,9,38.19
2012-07-20,11,38.86
2012-07-27,11,38.98
2012-08-03,13,41.38
2012-08-10,13,42.9
2012-08-17,13,42.61
2012-08-24,12,42.09
2012-08-31,13,41.55
2012-09-07,12,43.64
2012-09-14,12,44.71
2012-09-21,9,45.9
2012-09-28,12,45.34
2012-10-05,10,46.18
2012-10-12,11,45.06
2012-10-19,10,44.93
2012-10-26,11,43.64
2012-11-02,9,43.36
2012-11-09,12,44.67
2012-11-16,8,44.7
2012-11-23,8,46.15
2012-11-30,16,47.3
2012-12-07,13,46.81
2012-12-14,9,46.77
2012-12-21,12,47.57
2012-12-28,13,46.93
2013-01-04,13,49.37
2013-01-11,12,49.61
2013-01-18,12,49.93
2013-01-25,12,50.4
2013-02-01,17,50.88
2013-02-08,17,52.57
2013-02-15,15,53.52
2013-02-22,13,52.99
2013-03-01,13,53.62
2013-03-08,18,57.46
2013-03-15,14,56.65
2013-03-22,15,56.79
2013-04-05,11,57.88
2013-04-12,15,59.46
2013-04-19,13,59.75
2013-04-26,11,59.67
2013-05-03,17,60.43
2013-05-10,13,60.94
2013-05-17,10,60.71
2013-05-24,13,59.28
2013-05-31,11,58.37
2013-06-07,13,58.77
2013-06-14,13,57.47
2013-06-21,11,56.81
2013-06-28,12,57.82
2013-07-05,10,61.41
2013-07-12,11,61.7
2013-07-19,11,61.77
2013-07-26,13,63.02
2013-08-02,11,64.29
2013-08-09,17,63.4
2013-08-16,12,60.86
2013-08-23,13,62.36
2013-08-30,11,60.53
2013-09-06,13,61.45
2013-09-13,13,62.56
2013-09-20,12,64.3
2013-09-27,13,66.2
2013-10-04,13,66.46
2013-10-11,14,67.92
2013-10-18,10,68.73
2013-10-25,12,70.26
2013-11-01,14,68.81
2013-11-08,15,67.65
2013-11-15,14,67.64
2013-11-22,12,66.99
2013-11-29,11,65.71
2013-12-06,14,66.57
2013-12-13,13,65.55
2013-12-20,16,68.34
2013-12-27,12,69.64
2014-01-03,15,68.67
2014-01-10,14,66.19
2014-01-17,13,64.4
2014-01-24,12,63.32
2014-01-31,15,62.83
2014-02-07,21,63.91
2014-02-14,19,65.3
2014-02-21,14,64.73
2014-02-28,16,67.13
2014-03-07,13,68.3
2014-03-14,11,66.58
2014-03-21,13,66.34
2014-03-28,13,64.65
2014-04-04,14,66.51
2014-04-11,12,62.76
2014-04-25,13,65.2
