"Date","NRG","Price"
2004-02-06,63,20.05
2004-02-13,76,20.04
2004-02-20,78,19.54
2004-02-27,70,19.3
2004-03-05,73,19.85
2004-03-12,80,19.95
2004-03-19,79,20.65
2004-03-26,88,21.32
2004-04-02,77,22.5
2004-04-16,74,21.35
2004-04-23,79,21
2004-04-30,78,21.7
2004-05-07,83,19.69
2004-05-14,89,20.95
2004-05-21,78,20.42
2004-05-28,82,21.14
2004-06-04,82,21.6
2004-06-18,79,22.99
2004-06-25,80,23.9
2004-07-02,82,24.71
2004-07-09,81,26
2004-07-16,86,26.63
2004-07-23,83,25.98
2004-07-30,85,26.59
2004-08-06,85,27.64
2004-08-13,74,27.45
2004-08-20,81,27.5
2004-08-27,86,27.32
2004-09-03,76,27.2
2004-09-10,85,26.97
2004-09-17,86,26.05
2004-09-24,84,25.69
2004-10-01,78,27.36
2004-10-08,88,27.76
2004-10-15,84,27.45
2004-10-22,86,27.03
2004-10-29,80,27.74
2004-11-05,86,29.25
2004-11-12,87,31.24
2004-11-19,77,31.48
2004-11-26,85,32
2004-12-03,80,31.6
2004-12-10,73,32
2004-12-17,77,33.89
2004-12-31,89,36.05
2005-01-07,88,34.55
2005-01-14,85,34.23
2005-01-21,81,33.2
2005-01-28,78,34.48
2005-02-04,81,35.24
2005-02-11,84,36.75
2005-02-18,82,38.34
2005-02-25,76,38.67
2005-03-04,76,38.6
2005-03-11,74,37.35
2005-03-18,85,37.5
2005-04-01,77,34.72
2005-04-08,77,34.71
2005-04-15,73,32.29
2005-04-22,75,33.6
2005-04-29,78,31.1
2005-05-06,77,31.61
2005-05-13,72,31.8
2005-05-20,68,33.1
2005-05-27,79,35.22
2005-06-03,78,35.95
2005-06-10,80,35.93
2005-06-17,73,36.81
2005-06-24,82,37
2005-07-01,90,38
2005-07-08,82,37.66
2005-07-15,85,36.88
2005-07-22,81,38.15
2005-07-29,88,38.35
2005-08-05,85,40.01
2005-08-12,81,38.93
2005-08-19,85,38.56
2005-08-26,74,38.9
2005-09-02,84,40.87
2005-09-09,78,40.74
2005-09-16,77,40.89
2005-09-23,81,40.49
2005-09-30,84,42.6
2005-10-07,87,45.11
2005-10-14,83,44.72
2005-10-21,75,41.77
2005-10-28,87,42.75
2005-11-04,78,41.3
2005-11-11,84,38.2
2005-11-18,77,43.25
2005-11-25,79,45.25
2005-12-02,78,43.77
2005-12-09,73,44.43
2005-12-16,70,45.6
2005-12-23,73,46.22
2005-12-30,86,47.12
2006-01-06,100,46.13
2006-01-13,79,48.74
2006-01-20,76,48.26
2006-01-27,75,48.61
2006-02-03,77,47.3
2006-02-10,72,46.16
2006-02-17,81,45.89
2006-02-24,80,44.2
2006-03-03,85,44.09
2006-03-10,82,43.18
2006-03-17,74,46.22
2006-03-24,82,45.41
2006-03-31,77,45.22
2006-04-07,79,47.82
2006-04-21,77,47.94
2006-04-28,80,47.59
2006-05-05,80,48.69
2006-05-12,78,46.66
2006-05-19,81,43.21
2006-05-26,94,43.7
2006-06-02,91,51.87
2006-06-09,77,50.85
2006-06-16,77,48.45
2006-06-23,79,47.16
2006-06-30,84,48.18
2006-07-07,81,47.43
2006-07-14,90,47.16
2006-07-21,90,47.51
2006-07-28,83,49.82
2006-08-04,96,47
2006-08-11,89,48.11
2006-08-18,84,48.74
2006-08-25,77,50.35
2006-09-01,80,50.43
2006-09-08,78,50.46
2006-09-15,76,47.3
2006-09-22,74,47.23
2006-09-29,73,45.3
2006-10-06,84,45.16
2006-10-13,75,47.27
2006-10-20,76,47.74
2006-10-27,70,48.45
2006-11-03,79,53.13
2006-11-10,72,54.4
2006-11-17,71,53.79
2006-11-24,73,55.7
2006-12-01,73,57.51
2006-12-08,70,57.81
2006-12-15,73,57.58
2006-12-22,71,56.22
2006-12-29,82,56.01
2007-01-05,79,54.51
2007-01-12,81,55.97
2007-01-19,82,56.89
2007-01-26,77,58.37
2007-02-02,79,61.04
2007-02-09,81,60.1
2007-02-16,79,61.72
2007-02-23,75,63.52
2007-03-02,78,67.42
2007-03-09,73,69.95
2007-03-16,79,69.66
2007-03-23,77,72.59
2007-03-30,78,72.04
2007-04-13,82,77.96
2007-04-20,83,77.93
2007-04-27,80,78.88
2007-05-04,75,83.63
2007-05-11,80,84.21
2007-05-18,82,85.97
2007-05-25,79,83.82
2007-06-01,78,44.43
2007-06-08,80,42.32
2007-06-15,83,45.7
2007-06-22,76,42.41
2007-06-29,77,41.57
2007-07-06,79,42.99
2007-07-13,81,44
2007-07-20,77,43.74
2007-07-27,78,36.65
2007-08-03,78,39.18
2007-08-10,78,39.25
2007-08-17,78,36.83
2007-08-24,76,39.43
2007-08-31,75,38.09
2007-09-07,83,39.14
2007-09-14,79,39.12
2007-09-21,84,41.2
2007-09-28,80,42.29
2007-10-05,76,43.71
2007-10-12,78,45.4
2007-10-19,74,46
2007-10-26,77,44.8
2007-11-02,83,45.42
2007-11-09,82,41.74
2007-11-16,76,39.62
2007-11-23,83,39.14
2007-11-30,82,42.39
2007-12-07,82,43.33
2007-12-14,72,41.87
2007-12-21,74,43.21
2007-12-28,79,43.21
2008-01-04,79,41.42
2008-01-11,74,40.49
2008-01-18,74,37.48
2008-01-25,76,37.53
2008-02-01,79,39.58
2008-02-08,84,37.78
2008-02-15,84,39.18
2008-02-22,81,39.8
2008-02-29,91,41.27
2008-03-07,83,42.21
2008-03-14,71,41.25
2008-03-28,79,38.46
2008-04-04,72,40.22
2008-04-11,69,40.42
2008-04-18,72,44.43
2008-04-25,74,44.11
2008-05-02,76,43.13
2008-05-09,76,42.46
2008-05-16,80,43.8
2008-05-23,77,40
2008-05-30,81,41.59
2008-06-06,75,42.41
2008-06-13,70,43.82
2008-06-20,76,43.05
2008-06-27,77,42.28
2008-07-11,77,39.58
2008-07-18,71,36.69
2008-07-25,77,35.79
2008-08-01,77,36.26
2008-08-08,75,33.57
2008-08-15,74,37.15
2008-08-22,73,38.75
2008-08-29,75,37.64
2008-09-05,72,34.04
2008-09-12,79,33.39
2008-09-19,70,30.59
2008-09-26,70,26.41
2008-10-03,71,21.78
2008-10-10,70,15.17
2008-10-17,71,19.33
2008-10-24,86,20.2
2008-10-31,73,23.25
2008-11-07,71,23.86
2008-11-14,79,22.65
2008-11-21,71,19
2008-11-28,68,23.69
2008-12-05,64,23.5
2008-12-12,67,23.73
2008-12-19,67,21.67
2008-12-26,75,21.57
2009-01-02,82,23.64
2009-01-09,83,23.7
2009-01-16,77,23.86
2009-01-23,72,22.6
2009-01-30,73,23.36
2009-02-06,77,25.1
2009-02-13,83,22.32
2009-02-20,75,19.8
2009-02-27,79,18.9
2009-03-06,78,18.34
2009-03-13,67,17.21
2009-03-20,71,17.35
2009-03-27,71,17.59
2009-04-03,68,19.4
2009-04-17,67,17.89
2009-04-24,66,17.31
2009-05-01,70,18.98
2009-05-08,66,21.19
2009-05-15,67,19.58
2009-05-22,69,19.02
2009-05-29,67,22.5
2009-06-05,67,22.26
2009-06-12,72,24.37
2009-06-19,71,23.82
2009-06-26,68,23.8
2009-07-10,75,23.24
2009-07-17,73,24.39
2009-07-24,72,26.91
2009-07-31,71,27.21
2009-08-07,73,27.67
2009-08-14,72,28.95
2009-08-21,67,28.09
2009-08-28,69,27.76
2009-09-04,70,26.59
2009-09-11,70,26.75
2009-09-18,70,27.9
2009-09-25,67,26.89
2009-10-02,64,26.21
2009-10-09,63,27.57
2009-10-16,66,28.76
2009-10-23,65,26.9
2009-10-30,61,22.99
2009-11-06,68,23.76
2009-11-13,63,23.8
2009-11-20,62,23.81
2009-11-27,61,23.91
2009-12-04,60,24.34
2009-12-11,60,25.04
2009-12-18,58,25.45
2010-01-08,68,24.5
2010-01-15,62,24.4
2010-01-22,62,24.73
2010-01-29,63,24.11
2010-02-05,63,21.71
2010-02-12,60,22.06
2010-02-19,62,23.2
2010-02-26,59,21.84
2010-03-05,62,22.82
2010-03-12,61,22.19
2010-03-19,60,22.06
2010-03-26,61,20.25
2010-04-09,66,21.8
2010-04-16,64,21.85
2010-04-23,63,22.77
2010-04-30,65,24.17
2010-05-07,65,22.64
2010-05-14,64,22.71
2010-05-21,61,21.8
2010-05-28,65,23.35
2010-06-04,70,22.51
2010-06-11,66,22.94
2010-06-18,63,23.64
2010-06-25,64,21.85
2010-07-02,61,21
2010-07-09,61,22.63
2010-07-16,63,22.25
2010-07-23,62,22.89
2010-07-30,60,22.68
2010-08-06,61,22.99
2010-08-13,65,21.96
2010-08-20,61,20.73
2010-08-27,61,20.63
2010-09-03,57,21.65
2010-09-10,58,21.84
2010-09-17,57,21.54
2010-09-24,57,20.75
2010-10-01,54,21.09
2010-10-08,55,21.31
2010-10-15,57,20.86
2010-10-22,55,20.24
2010-10-29,52,19.91
2010-11-05,54,20.1
2010-11-12,54,19.61
2010-11-19,51,19.35
2010-11-26,50,19.62
2010-12-03,53,19.15
2010-12-10,51,18.7
2010-12-17,49,18.67
2010-12-31,53,19.54
2011-01-07,53,19.63
2011-01-14,50,20.24
2011-01-21,52,20.61
2011-01-28,56,20.99
2011-02-04,53,20.73
2011-02-11,55,20.9
2011-02-18,55,20.89
2011-02-25,55,19.55
2011-03-04,60,19.38
2011-03-11,55,19.79
2011-03-18,51,20.72
2011-03-25,57,21.33
2011-04-01,56,21.65
2011-04-08,53,21.52
2011-04-15,54,21.66
2011-04-29,54,24.2
2011-05-06,52,24.09
2011-05-13,52,24.52
2011-05-20,53,25.27
2011-05-27,52,24.59
2011-06-03,52,23.89
2011-06-10,55,23.79
2011-06-17,53,23.31
2011-06-24,54,22.8
2011-07-01,53,24.8
2011-07-08,53,24.2
2011-07-15,53,24.3
2011-07-22,53,24.75
2011-07-29,57,24.52
2011-08-05,55,22.16
2011-08-12,55,22.27
2011-08-19,57,21.38
2011-08-26,56,21.91
2011-09-02,54,23.16
2011-09-09,52,22.71
2011-09-16,51,23.44
2011-09-23,51,21.76
2011-09-30,48,21.21
2011-10-07,50,20.4
2011-10-14,49,21.14
2011-10-21,50,21.43
2011-10-28,48,21.71
2011-11-04,49,21.52
2011-11-11,46,21.91
2011-11-18,46,20.52
2011-11-25,44,18.71
2011-12-02,45,19.37
2011-12-09,44,18.93
2011-12-16,45,18.31
2011-12-23,44,18.57
2011-12-30,44,18.12
2012-01-06,46,17.69
2012-01-13,46,17.69
2012-01-20,44,16.15
2012-01-27,43,16.68
2012-02-03,43,17.26
2012-02-10,45,17.32
2012-02-17,42,17.5
2012-02-24,47,17.85
2012-03-02,46,17.29
2012-03-09,47,16.73
2012-03-16,46,16.77
2012-03-23,46,16.71
2012-03-30,46,15.67
2012-04-13,44,14.58
2012-04-20,47,15.39
2012-04-27,44,16.63
2012-05-04,46,15.47
2012-05-11,43,16.29
2012-05-18,47,15.44
2012-05-25,45,15.64
2012-06-01,45,14.84
2012-06-08,46,15.93
2012-06-15,45,15.02
2012-06-22,48,15.61
2012-06-29,48,17.36
2012-07-06,44,17.14
2012-07-13,46,17.6
2012-07-20,46,18.05
2012-07-27,49,19.78
2012-08-03,46,19.41
2012-08-10,45,20.86
2012-08-17,44,21.54
2012-08-24,47,21.18
2012-08-31,46,21.34
2012-09-07,44,21.78
2012-09-14,44,22.1
2012-09-21,43,21.89
2012-09-28,42,21.39
2012-10-05,42,22.76
2012-10-12,43,23.02
2012-10-19,46,23.28
2012-10-26,46,21.94
2012-11-02,41,21.21
2012-11-09,41,20.53
2012-11-16,46,19.78
2012-11-23,48,19.95
2012-11-30,41,21.1
2012-12-07,41,21.88
2012-12-14,39,23
2012-12-21,40,22.87
2012-12-28,40,22.59
2013-01-04,40,23.18
2013-01-11,41,23.56
2013-01-18,39,23.89
2013-01-25,41,23.59
2013-02-01,41,24.05
2013-02-08,39,24.13
2013-02-15,36,23.94
2013-02-22,39,24.03
2013-03-01,37,24
2013-03-08,41,24.88
2013-03-15,40,26.09
2013-03-22,40,25.78
2013-04-05,36,26.35
2013-04-12,39,27.14
2013-04-19,41,27.26
2013-04-26,38,27.92
2013-05-03,38,27.61
2013-05-10,39,27.18
2013-05-17,39,28.01
2013-05-24,37,27.17
2013-05-31,37,25.52
2013-06-07,38,27.1
2013-06-14,39,27
2013-06-21,38,25.42
2013-06-28,39,26.7
2013-07-05,38,26.14
2013-07-12,39,28.64
2013-07-19,40,28.46
2013-07-26,38,27.67
2013-08-02,35,27.04
2013-08-09,36,26.35
2013-08-16,37,26.15
2013-08-23,39,26.32
2013-08-30,38,26.25
2013-09-06,35,26.06
2013-09-13,40,27.14
2013-09-20,34,27.53
2013-09-27,35,27.72
2013-10-04,34,27.43
2013-10-11,34,28.13
2013-10-18,34,29.3
2013-10-25,35,30.11
2013-11-01,35,28.39
2013-11-08,33,28.32
2013-11-15,35,27.27
2013-11-22,33,27.22
2013-11-29,34,26.46
2013-12-06,32,28.59
2013-12-13,33,27.95
2013-12-20,32,28.4
2013-12-27,34,28.59
2014-01-03,35,28.66
2014-01-10,36,28.06
2014-01-17,34,28.07
2014-01-24,34,26.82
2014-01-31,36,27.85
2014-02-07,35,27.61
2014-02-14,36,28.43
2014-02-21,58,28.56
2014-02-28,44,29.07
2014-03-07,42,28.7
2014-03-14,42,29.97
2014-03-21,41,30.38
2014-03-28,39,31.55
2014-04-04,40,32.66
2014-04-11,38,31.72
2014-04-25,35,33.16
